units,batch_size,epochs,optimizer,look_back,learning_rate,rmse
8,16,50,adam,1,0.003,50.28441923316719
64,4,100,rmsprop,3,0.0001,70.27488679017158
32,1,50,rmsprop,5,0.0003,58.06276932150902
32,4,20,rmsprop,5,0.001,71.61794188591749
64,1,50,adam,1,0.001,51.66322594655881
16,4,100,adam,3,0.003,50.59680880669884
32,32,20,adam,1,0.0003,271.5365528114854
32,1,100,adam,5,0.0001,63.70288891019252
8,1,50,sgd,5,0.003,222.04112149114684
32,16,100,adam,1,0.003,51.43483468876755
