units,batch_size,epochs,optimizer,look_back,learning_rate,rmse
16,4,100,adam,3,0.001,64.29512655419785
64,16,50,adam,5,0.003,85.36835924425151
16,8,100,adam,5,0.003,70.34049843319882
16,8,100,rmsprop,10,0.001,58.87859483461405
64,8,50,rmsprop,5,0.001,86.64741685254022
